log_body_len,Contributors Expertise,n_labels,has_milestone,is_feature_label,title_len,created_dayofweek,created_hour,n_assignees,cat_bug,cat_feature,cat_improvement,comp_ui,comp_backend,comp_api,comp_network,comp_security,comp_database,comp_authentication,comp_performance,n_complexity_words,n_urgency_words,body_has_steps,n_negative_words,assignee_avg_duration,assignee_task_count,assignee_open_tasks,depaseste_sprint,Time_Taken_Days,Created At,Repository
6.725033642166843,10.8,1,0,0,16,5,10,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,33.8435925925926,5,0,1,247.81328703703704,2013-09-14 10:01:08+00:00,ReactiveX/RxJava
5.3706380281276624,3.4,1,1,0,26,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0855960648148149,2,0,0,0.30141203703703706,2013-09-24 19:12:56+00:00,twbs/bootstrap
6.030685260261263,5.199999999999999,1,0,0,20,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45.87998408564815,16,1,1,66.85050925925925,2013-10-09 03:49:03+00:00,twbs/bootstrap
7.508787170634276,10.8,1,0,0,70,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.8435925925926,5,1,1,222.02605324074074,2013-10-10 04:58:53+00:00,ReactiveX/RxJava
5.598421958998375,3.4,2,1,1,44,4,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8242013888888889,3,0,1,82.72300925925926,2013-10-18 09:15:24+00:00,twbs/bootstrap
6.816735880594968,3.4,3,0,1,46,4,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8242013888888889,3,1,1,257.98515046296296,2013-11-08 03:55:24+00:00,twbs/bootstrap
8.82555985506085,5.199999999999999,1,1,0,16,5,23,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,8,45.91192401960785,17,1,1,18.725543981481483,2013-11-16 23:33:05+00:00,twbs/bootstrap
5.0238805208462765,2.4,0,0,0,71,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9384375,0,0,1,240.3833449074074,2013-11-25 20:15:15+00:00,ReactiveX/RxJava
6.70073110954781,10.8,0,0,0,25,2,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.8435925925926,5,2,1,173.77252314814814,2013-11-27 11:10:17+00:00,ReactiveX/RxJava
0.0,5.199999999999999,2,1,0,53,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.91192401960785,17,2,0,1.1205092592592591,2013-12-04 02:22:54+00:00,twbs/bootstrap
5.402677381872279,10.8,0,0,0,29,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,33.8435925925926,5,3,1,165.19560185185185,2013-12-06 01:02:55+00:00,ReactiveX/RxJava
6.784457062637643,10.8,0,0,0,48,6,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33.8435925925926,5,4,1,148.7401851851852,2013-12-08 12:44:16+00:00,ReactiveX/RxJava
5.214935757608986,10.8,0,0,0,18,3,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.8435925925926,5,5,1,17.801296296296297,2013-12-12 23:05:11+00:00,ReactiveX/RxJava
6.7661917146603505,5.199999999999999,1,1,0,35,1,20,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9,43.35996354166667,20,0,0,1.22375,2013-12-17 20:12:32+00:00,twbs/bootstrap
7.736743682453495,10.8,0,0,0,36,1,23,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,33.8435925925926,5,6,1,141.71890046296295,2013-12-17 23:15:13+00:00,ReactiveX/RxJava
6.923628628138427,5.199999999999999,1,1,0,14,2,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.35996354166667,20,1,0,0.007546296296296297,2013-12-18 22:10:43+00:00,twbs/bootstrap
4.406719247264253,5.199999999999999,1,1,0,29,2,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.295562720458555,21,1,0,0.013148148148148148,2013-12-18 22:30:10+00:00,twbs/bootstrap
6.7650389767805414,2.4,0,0,0,13,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.9384375,0,1,1,216.9384259259259,2013-12-19 07:47:20+00:00,ReactiveX/RxJava
5.220355825078325,2.4,0,0,0,26,4,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.9384375,0,2,0,13.125694444444445,2013-12-20 17:35:04+00:00,ReactiveX/RxJava
6.767343125265392,10.8,0,0,0,21,4,20,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,33.8435925925926,5,7,0,12.360300925925927,2013-12-20 20:34:03+00:00,ReactiveX/RxJava
5.0689042022202315,3.4,2,0,0,33,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8242013888888889,3,2,1,26.83253472222222,2013-12-23 07:20:24+00:00,twbs/bootstrap
6.373319789577012,10.8,0,0,0,30,0,18,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,33.8435925925926,5,8,1,147.46377314814814,2013-12-23 18:40:03+00:00,ReactiveX/RxJava
4.3694478524670215,2.4,0,0,0,26,0,21,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6.9384375,0,3,1,49.948877314814816,2013-12-23 21:47:54+00:00,ReactiveX/RxJava
6.030685260261263,2.4,0,0,0,71,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9384375,0,4,1,155.5487962962963,2013-12-24 05:38:53+00:00,ReactiveX/RxJava
6.137727054086234,3.4,1,1,1,67,1,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8242013888888889,3,3,1,14.44675925925926,2013-12-24 16:23:01+00:00,twbs/bootstrap
